url,street,city,state,zip,bds,ba,sqft,price
https://www.zillow.com/homedetails/603-E-Wyoming-Ave-Philadelphia-PA-19120/10422267_zpid/,603 E Wyoming Ave, Philadelphia,PA,19120,3,1,1432,174900
https://www.zillow.com/homedetails/4745-C-St-Philadelphia-PA-19120/10424519_zpid/,4745 C St, Philadelphia,PA,19120,3,1,1200,169900
https://www.zillow.com/homedetails/459-E-Louden-St-Philadelphia-PA-19120/2123366773_zpid/,459 E Louden St, Philadelphia,PA,19120,3,3,1880,239900
https://www.zillow.com/homedetails/565-Alcott-1-2-St-Philadelphia-PA-19120/2070035488_zpid/,565 Alcott 1/2 St, Philadelphia,PA,19120,3,2,1299,160000
https://www.zillow.com/homedetails/5249-N-Franklin-St-Philadelphia-PA-19120/10466772_zpid/,5249 N Franklin St, Philadelphia,PA,19120,3,1,1380,114990
https://www.zillow.com/homedetails/216-W-Olney-Ave-Philadelphia-PA-19120/10429265_zpid/,216 W Olney Ave, Philadelphia,PA,19120,3,2,1060,150000
https://www.zillow.com/homedetails/5915-B-St-Philadelphia-PA-19120/10552719_zpid/,5915 B St, Philadelphia,PA,19120,3,1,1104,169900
https://www.zillow.com/homedetails/429-W-Champlost-St-Philadelphia-PA-19120/10549792_zpid/,429 W Champlost St, Philadelphia,PA,19120,3,1,1180,130000
https://www.zillow.com/homedetails/635-Brill-St-Philadelphia-PA-19120/10353815_zpid/,635 Brill St, Philadelphia,PA,19120,3,1,1032,195000
https://www.zillow.com/homedetails/206-W-Sheldon-St-Philadelphia-PA-19120/10428418_zpid/,206 W Sheldon St, Philadelphia,PA,19120,3,2,1120,99900
https://www.zillow.com/homedetails/233-Chelten-Ave-Philadelphia-PA-19120/10547289_zpid/,233 Chelten Ave, Philadelphia,PA,19120,3,2,1280,184900
https://www.zillow.com/homedetails/336-E-Clarkson-Ave-Philadelphia-PA-19120/10423520_zpid/,336 E Clarkson Ave, Philadelphia,PA,19120,3,1,1200,224900
https://www.zillow.com/homedetails/5033-C-St-Philadelphia-PA-19120/10424583_zpid/,5033 C St, Philadelphia,PA,19120,3,3,1350,139000
https://www.zillow.com/homedetails/5951-N-3rd-St-Philadelphia-PA-19120/10551747_zpid/,5951 N 3rd St, Philadelphia,PA,19120,3,2,1618,240000
https://www.zillow.com/homedetails/325-E-Claremont-Rd-Philadelphia-PA-19120/10547612_zpid/,325 E Claremont Rd, Philadelphia,PA,19120,3,3,1152,249000
https://www.zillow.com/homedetails/643-E-Sanger-St-Philadelphia-PA-19120/10354154_zpid/,643 E Sanger St, Philadelphia,PA,19120,3,1,948,149900
